,name,id,text,retweet_count,like_count,created_at
70,nytimes,1598899864573808640,"Exporting live cattle to Indonesia from Australia has created a unique culture: part throwback, part marvel of globalization. https://t.co/IFTtUZvdWV",23,103,2022-12-03 04:40:08+00:00
71,nytimes,1598894811880235008,"RT @jesus_jimz: A 15-year-old boy who was campaigning for Senator Raphael Warnock was shot through the door of a home in Savannah, Ga., on…",43,0,2022-12-03 04:20:03+00:00
72,nytimes,1598889804875325440,"Allen Kay, an advertising executive whose work sold Xerox copiers to Super Bowl viewers (Brother Dominic the monk) and saved lives after the 2001 terrorist attacks (“If you see something, say something”), has died at 77. https://t.co/BQ26RpDxE7",47,219,2022-12-03 04:00:10+00:00
73,nytimes,1598884744321810434,"Here are 11 new books recommended by critics and editors at The New York Times.
https://t.co/GtuWae5nOj",37,151,2022-12-03 03:40:03+00:00
74,nytimes,1598879716701835264,"RT @MichaelCBender: Trump is -23 in Georgia, according to a new poll from a pro-Walker super PAC. Gov. Kemp: +27

More here from my latest…",21,0,2022-12-03 03:20:04+00:00
75,nytimes,1598874685495721985,"Jacob deGrom, who won two Cy Young Awards as the ace of the Mets, has signed a five-year contract with the Texas Rangers. https://t.co/dQBwLjg5RZ",21,97,2022-12-03 03:00:05+00:00
76,nytimes,1598869655870996486,"A Missouri man pleaded guilty to stealing his dead mother’s Social Security checks for 26 years, accumulating nearly $200,000 in the process, prosecutors said. The crime could land him in prison for up to 10 years and result in a fine of up to $250,000. https://t.co/ScEKT9QfYF",62,328,2022-12-03 02:40:06+00:00
77,nytimes,1598864618323148800,RT @ginakolata: A daring study that uses gene therapy in the brain to try to reduce Alzheimer’s risk https://t.co/UkqCSClDLx,26,0,2022-12-03 02:20:05+00:00
78,nytimes,1598859622185672705,"Donald Trump approved a key aspect of a tax fraud scheme orchestrated by several top executives at his family business, prosecutors said in their closing arguments at the company’s trial, an explosive claim as the jury prepares to deliberate next week. https://t.co/sMEzwv3Mc7",266,933,2022-12-03 02:00:13+00:00
79,nytimes,1598854553335652356,"People with severe mental illness may soon be brought to New York City’s emergency rooms for evaluations against their will, under Mayor Eric Adams's plan announced this week. Doctors told us what might happen to them next. https://t.co/l38w4NmAH5",61,191,2022-12-03 01:40:05+00:00
80,nytimes,1598849522368667648,"RT @katierogers: Inside edition: Last night, Biden was asked to tell Macron and other state dinner guests which foods represent America.

“…",50,0,2022-12-03 01:20:05+00:00
81,nytimes,1598844513551794177,It’s “win or go home” time in the World Cup’s knockout stage. Here’s how the 16-team bracket looks so far. https://t.co/yJoldi2qHm,54,253,2022-12-03 01:00:11+00:00
82,nytimes,1598839456680796161,This astoundingly simple meal — it doesn’t even require any chopping — comes together in under 30 minutes but tastes as complex as anything you’d get at a restaurant. https://t.co/Be48AdG747 https://t.co/XvWyeUJdzN,89,1503,2022-12-03 00:40:06+00:00
83,nytimes,1598832905572212737,"RT @Jonesieman: Donald J. Trump approved a key aspect of a tax fraud scheme orchestrated by several top executives at his family business,…",537,0,2022-12-03 00:14:04+00:00
84,nytimes,1598829387973107712,"Twitter is losing revenue and missing advertising targets. By the first week of the World Cup, U.S. ad revenue was 80% below expectations. https://t.co/iUWJ7WlhZn",846,3166,2022-12-03 00:00:05+00:00
85,nytimes,1598824361930235908,"A former Queens man who served more than 25 years in prison after being wrongfully convicted in the fatal September 1990 subway stabbing of Brian Watkins will receive nearly $18 million in settlements with the city and the state, his lawyer said on Friday. https://t.co/l9hfJTYtTN",58,399,2022-12-02 23:40:07+00:00
86,nytimes,1598814836695044096,"RT @BenWeiserNYT: BREAKING: ""I look forward to the next chapter of my life"" - Johnny Hincapie, exonerated in a notorious 1990 New York subw…",32,0,2022-12-02 23:02:16+00:00
87,nytimes,1598814337396838401,"A 15-year-old boy campaigning for Sen. Raphael Warnock was shot in the leg through the door of a home in Savannah, Georgia, on Thursday, the authorities said. “At this point, there is no indication the shooting was politically motivated,” they said. https://t.co/mTMFQXtoZz",62,172,2022-12-02 23:00:17+00:00
88,nytimes,1598810515609985236,"Medical professionals have warned about the cardiac risks the holidays carry for decades. Doctors even gave a name to the toll of celebratory binge drinking: holiday heart syndrome. Here’s what to know about the condition, and how to lower your risk. https://t.co/SMkbEAW7zU",49,168,2022-12-02 22:45:06+00:00
89,nytimes,1598806739947855902,"A lawsuit against Harvard seemed to confirm advice given for years to Asian Americans: Try to appear ""less Asian"" on college applications. Many students say they downplayed aspects of their identity or changed their interests to avoid discrimination. https://t.co/Pop9upN8Z1 https://t.co/wdmcWnqV9B",118,552,2022-12-02 22:30:05+00:00
90,nytimes,1598805487864225810,A Connecticut socialite was sentenced on Tuesday to one year in prison for secretly recording videos of three minors in intimate situations. She will be required to register as a sex offender for a decade. https://t.co/A4GmZA6o8n,36,195,2022-12-02 22:25:07+00:00
91,nytimes,1598804219699625984,From @TheAthleticFC: We assessed World Cup team styles during the group stages. This is what advanced metrics tell us about USA-Netherlands and other knockout matches. https://t.co/pmr8VNuodg,8,56,2022-12-02 22:20:04+00:00
92,nytimes,1598801705159872513,"There’s no right or wrong way to go about decorating for the holidays, but a little inspiration is helpful. We asked a few top interior designers how they create holiday magic in their own homes. https://t.co/DcZpBIEIPv",19,79,2022-12-02 22:10:05+00:00
93,nytimes,1598799240146427910,"Where did the royals find Prince George’s nanny? At Norland College, one of the oldest nanny schools in the world, where students learn how to shield strollers from paparazzi and fend off potential kidnappers. https://t.co/K9MWE9QmaJ",21,97,2022-12-02 22:00:17+00:00
94,nytimes,1598796667167416329,"These cookies take familiar ingredients into the realm of something truly special, celebrating the floral vanilla notes of real white chocolate and the buttery richness of macadamia nuts. https://t.co/119jfCLJgs",31,233,2022-12-02 21:50:04+00:00
95,nytimes,1598793993537699845,"Breaking News: Democrats moved closer to making South Carolina the first presidential nominating state, demoting Iowa. New Hampshire and Nevada would come next in the party's presidential primary calendar. https://t.co/4pcySuYTJs",24,174,2022-12-02 21:39:26+00:00
96,nytimes,1598790046408183828,"Brazil 🇧🇷 advances in the #FIFAWorldCup despite losing to Cameroon 🇨🇲, 1-0. Their two earlier victories were sufficient for them to win Group G.

Follow our live updates. https://t.co/IMbn2zb1Og https://t.co/Gz5Jtu0iqE",79,385,2022-12-02 21:23:45+00:00
97,nytimes,1598789541854384149,"Switzerland 🇨🇭 advanced out of Group G after beating Serbia 🇷🇸, 3-2, in the #FIFAWorldCup.

Follow our live updates. https://t.co/bl1M5Y4mRU https://t.co/nD0E7woTrx",56,289,2022-12-02 21:21:45+00:00
98,nytimes,1598789133811552256,"From @TheAthleticFC: South Korea beat Portugal with a late, dramatic goal, created by the nutmeg of all nutmegs from Son Heung-min. It was a moment of impudent genius at the #FIFAWorldCup. https://t.co/ImViCnRLJn",36,177,2022-12-02 21:20:08+00:00
99,nytimes,1598787880612204561,"Paul Whelan, a former U.S. Marine imprisoned in Russia, called his family on Friday after weeks of silence that led U.S. officials to express concern for his well being. He did not explain why he was transferred to the hospital of a Russian prison. https://t.co/8jN9QNu2pD",34,119,2022-12-02 21:15:09+00:00
